rank,school_name,school_city,school_state,rating,score,earnings_10yr,pred_earnings_10yr_ols,public,score_sat_act,pell_grant_pct,born_in_usa_pct,female_pct,region_high_inc,urban_area,enrollment,black_or_hispanic_pct,overage23,median_hh_income,avg_sat_2011,median_act_2011,avg_net_price_2011,avg_net_price_lowinc_2011,admission_rate_2011,completion_rate_6yr_2011
1,Babson College,Wellesley,MA,5.0,3.76,85500.0,57365.0,0,1.57,0.31,0.88,0.45,1,1,1719.0,0.1,0.02,85636.0,1316.0,29.0,29276.0,19549.0,0.34,0.9
2,Xavier University of Louisiana,New Orleans,LA,5.0,3.25,46500.0,32945.0,0,-0.71,0.67,0.91,0.76,0,1,3271.0,0.55,0.06,51770.0,999.0,22.0,20102.0,19566.0,0.64,0.56
3,Colorado School of Mines,Golden,CO,5.0,3.18,74700.0,53276.0,1,1.51,0.41,0.92,0.28,0,1,2563.0,0.16,0.05,71032.0,1297.0,29.0,21090.0,17235.0,0.45,0.7
4,Rose-Hulman Institute of Technology,Terre Haute,IN,5.0,3.05,78900.0,57101.0,0,1.86,0.32,0.96,0.2,0,1,1572.0,0.08,0.01,65413.0,1302.0,30.0,31953.0,28608.0,0.62,0.77
5,Bentley University,Waltham,MA,5.0,2.99,74900.0,54537.0,0,0.68,0.33,0.88,0.44,1,1,4181.0,0.1,0.04,79501.0,1197.0,27.0,27480.0,16553.0,0.43,0.88
6,Kettering University,Flint,MI,5.0,2.97,74900.0,54669.0,0,1.12,0.36,0.94,0.18,0,1,2607.0,0.13,0.02,68949.0,1235.0,27.0,28401.0,25074.0,0.64,0.59
7,Spelman College,Atlanta,GA,5.0,2.89,46400.0,34130.0,0,0.08,0.55,0.87,1.0,0,1,2111.0,0.53,0.03,61723.0,1027.0,22.0,29673.0,26224.0,0.39,0.77
8,Brigham Young University-Provo,Provo,UT,5.0,2.88,57400.0,42286.0,0,1.2,0.89,0.9,0.46,0,1,29815.0,0.12,0.12,63435.0,1263.0,28.0,11455.0,8788.0,0.63,0.78
9,Missouri University of Science and Technology,Rolla,MO,5.0,2.85,65500.0,48392.0,1,1.37,0.52,0.96,0.25,0,0,3676.0,0.09,0.1,57031.0,1266.0,28.0,14829.0,11767.0,0.9,0.67
10,Washington and Lee University,Lexington,VA,5.0,2.78,77600.0,57737.0,0,2.32,0.19,0.9,0.47,0,0,1706.0,0.15,0.06,79866.0,1379.0,31.0,26047.0,16017.0,0.18,0.91
11,Alderson Broaddus University,Philippi,WV,5.0,2.64,43400.0,32796.0,0,-0.72,0.64,0.98,0.67,0,0,682.0,0.04,0.18,43301.0,1016.0,22.0,11145.0,10996.0,0.7,0.49
12,Texas Woman's University,Denton,TX,5.0,2.59,44800.0,34043.0,1,-1.29,0.63,0.86,0.93,0,1,4385.0,0.33,0.39,66732.0,916.0,19.0,8580.0,6054.0,0.88,0.39
13,Princeton University,Princeton,NJ,5.0,2.52,75100.0,57475.0,0,3.18,0.51,0.83,0.53,1,1,4613.0,0.24,0.05,81981.0,1487.0,33.0,10326.0,6773.0,0.08,0.96
14,Massachusetts Institute of Technology,Cambridge,MA,5.0,2.52,91600.0,70121.0,0,3.52,0.32,0.83,0.41,1,1,4213.0,0.22,0.12,78554.0,1490.0,34.0,22488.0,5601.0,0.1,0.93
15,Clarkson University,Potsdam,NY,5.0,2.49,68400.0,52491.0,0,0.91,0.43,0.94,0.24,1,0,2610.0,0.08,0.02,60672.0,1158.0,26.0,23676.0,14344.0,0.77,0.72
16,Lehigh University,Bethlehem,PA,5.0,2.41,76800.0,59481.0,0,1.78,0.31,0.88,0.41,1,1,4630.0,0.12,0.01,86768.0,1313.0,30.0,28151.0,16673.0,0.33,0.87
17,College of Saint Benedict,Saint Joseph,MN,5.0,2.38,47600.0,36978.0,0,0.88,0.38,0.96,1.0,0,1,2100.0,0.04,0.02,68998.0,1163.0,26.0,22701.0,14708.0,0.73,0.81
18,Rensselaer Polytechnic Institute,Troy,NY,5.0,2.33,81700.0,63795.0,0,2.0,0.36,0.87,0.25,1,1,5185.0,0.14,0.05,74731.0,1344.0,28.0,30877.0,21862.0,0.4,0.84
19,Saint Johns University,Collegeville,MN,5.0,2.31,55900.0,43737.0,0,0.92,0.34,0.96,0.6,0,0,1888.0,0.04,0.0,69196.0,1160.0,26.0,22128.0,15591.0,0.74,0.8
20,Bucknell University,Lewisburg,PA,5.0,2.31,68800.0,53851.0,0,1.86,0.33,0.91,0.5,1,0,3397.0,0.11,0.02,76816.0,1307.0,29.0,31443.0,19179.0,0.28,0.91
21,West Virginia University Institute of Technology,Montgomery,WV,5.0,2.31,43900.0,34364.0,1,-1.23,0.75,0.98,0.39,0,0,1977.0,0.09,0.22,42163.0,968.0,21.0,8414.0,6454.0,0.52,0.29
22,University of the Pacific,Stockton,CA,5.0,2.21,66400.0,52508.0,0,0.44,0.43,0.79,0.61,1,1,3166.0,0.27,0.25,69505.0,1184.0,26.0,26306.0,19452.0,0.36,0.6
23,Michigan Technological University,Houghton,MI,5.0,2.18,60100.0,47703.0,1,0.87,0.48,0.96,0.26,0,0,5803.0,0.06,0.05,59572.0,1187.0,26.0,14338.0,9357.0,0.74,0.65
24,University of Charleston,Charleston,WV,5.0,2.14,42000.0,33469.0,0,-0.85,0.66,0.97,0.73,0,1,1021.0,0.08,0.32,49527.0,1037.0,23.0,14046.0,12545.0,0.57,0.52
25,Georgia Institute of Technology-Main Campus,Atlanta,GA,5.0,2.13,74000.0,59039.0,1,2.27,0.42,0.89,0.28,0,1,10888.0,0.25,0.06,75556.0,1329.0,30.0,6540.0,1792.0,0.52,0.79
26,Georgetown University,Washington,DC,5.0,2.12,83300.0,66533.0,0,2.56,0.24,0.84,0.54,1,1,6170.0,0.21,0.2,84034.0,1396.0,32.0,25982.0,11268.0,0.2,0.94
27,Villanova University,Villanova,PA,5.0,2.12,73700.0,58866.0,0,1.45,0.23,0.89,0.51,1,1,7041.0,0.13,0.05,88071.0,1306.0,30.0,32479.0,17715.0,0.44,0.9
28,Drake University,Des Moines,IA,5.0,2.11,55700.0,44527.0,0,0.85,0.39,0.94,0.62,0,1,728.0,0.09,0.11,67307.0,1224.0,27.0,23314.0,17953.0,0.63,0.78
29,Wellesley College,Wellesley,MA,5.0,2.05,56700.0,45597.0,0,2.25,0.44,0.83,1.0,1,1,2262.0,0.18,0.05,80735.0,1379.0,31.0,18906.0,8578.0,0.31,0.92
30,Pace University-New York,New York,NY,5.0,2.03,58400.0,47061.0,0,-0.33,0.6,0.7,0.63,1,1,2691.0,0.32,0.15,70318.0,1030.0,,19422.0,14482.0,0.79,0.53
31,Harvard University,Cambridge,MA,5.0,2.03,87200.0,70325.0,0,3.45,0.24,0.82,0.65,1,1,7085.0,0.23,0.31,76392.0,1485.0,33.0,11138.0,2337.0,0.06,0.97
32,Notre Dame of Maryland University,Baltimore,MD,5.0,1.99,48800.0,39522.0,0,-0.37,0.46,0.92,0.96,1,1,1395.0,0.29,0.44,70241.0,1024.0,20.0,18388.0,15237.0,0.55,0.48
33,Bowie State University,Bowie,MD,5.0,1.95,47000.0,38225.0,1,-1.49,0.65,0.87,0.63,1,1,3403.0,0.62,0.23,77131.0,892.0,19.0,13589.0,9924.0,0.5,0.41
34,D'Youville College,Buffalo,NY,5.0,1.94,48300.0,39314.0,0,-1.0,0.55,0.92,0.75,1,1,902.0,0.2,0.41,52641.0,1044.0,23.0,16521.0,14446.0,0.87,0.41
35,Worcester Polytechnic Institute,Worcester,MA,5.0,1.94,77600.0,63185.0,0,1.69,0.3,0.91,0.22,1,1,2758.0,0.08,0.03,74467.0,,,33423.0,22906.0,0.57,0.76
36,Georgian Court University,Lakewood,NJ,5.0,1.91,45700.0,37301.0,0,-1.33,0.48,0.9,0.93,1,1,1490.0,0.13,0.34,76855.0,,,18476.0,12801.0,0.66,0.52
37,University of the Virgin Islands,Charlotte Amalie,VI,5.0,1.91,34200.0,27935.0,1,-2.11,0.91,0.83,0.81,0,0,1087.0,0.35,0.29,60101.0,776.0,17.0,9472.0,8664.0,0.95,0.25
38,Manhattan College,Riverdale,NY,5.0,1.9,63600.0,51992.0,0,0.22,0.45,0.78,0.51,1,1,2563.0,0.3,0.07,77187.0,,,23143.0,16883.0,,0.72
39,University of Pittsburgh-Bradford,Bradford,PA,5.0,1.89,48200.0,39431.0,1,-0.52,0.55,0.97,0.56,1,0,1148.0,0.04,0.22,50940.0,990.0,21.0,15478.0,12896.0,0.83,0.47
40,Oregon Institute of Technology,Klamath Falls,OR,5.0,1.88,50100.0,41042.0,1,-0.37,0.7,0.93,0.46,1,0,2495.0,0.09,0.37,51126.0,1015.0,,13698.0,10213.0,0.64,0.43
41,Holy Family University,Philadelphia,PA,5.0,1.85,49900.0,41001.0,0,-1.2,0.46,0.88,0.76,1,1,1720.0,0.16,0.29,61184.0,930.0,,15220.0,14225.0,0.7,0.61
42,Stanford University,Stanford,CA,5.0,1.83,80900.0,66589.0,0,3.15,0.35,0.8,0.52,1,1,6443.0,0.25,0.14,78728.0,1446.0,32.0,16835.0,5648.0,0.07,0.96
43,St Catherine University,Saint Paul,MN,5.0,1.82,45300.0,37322.0,0,-0.08,0.52,0.92,0.98,0,1,3436.0,0.1,0.47,71252.0,1110.0,24.0,21330.0,19389.0,0.56,0.63
44,University of Mary,Bismarck,ND,5.0,1.8,45700.0,37745.0,0,-0.42,0.55,0.98,0.6,0,0,2051.0,0.03,0.29,49913.0,1048.0,23.0,13265.0,10246.0,0.75,0.52
45,Ohio Northern University,Ada,OH,5.0,1.8,54300.0,44861.0,0,0.7,0.38,0.96,0.52,0,1,2272.0,0.07,0.04,61461.0,1197.0,27.0,23688.0,18897.0,0.82,0.67
46,Stevenson University,Stevenson,MD,5.0,1.79,51400.0,42522.0,0,-0.29,0.37,0.93,0.73,1,0,2279.0,0.22,0.18,72999.0,973.0,20.0,21370.0,16574.0,0.58,0.62
47,Lafayette College,Easton,PA,5.0,1.76,69800.0,57893.0,0,1.53,0.22,0.9,0.5,1,1,2270.0,0.1,0.02,84070.0,1292.0,29.0,31016.0,11957.0,0.4,0.88
48,California State University-Bakersfield,Bakersfield,CA,5.0,1.75,48100.0,39943.0,1,-0.79,0.77,0.81,0.68,1,1,5274.0,0.44,0.39,54278.0,921.0,19.0,6494.0,4539.0,0.66,0.41
49,Barnard College,New York,NY,5.0,1.74,57400.0,47743.0,0,2.19,0.43,0.76,1.0,1,1,2261.0,0.24,0.0,79218.0,1343.0,30.0,23332.0,11782.0,0.25,0.92
50,New Mexico Institute of Mining and Technology,Socorro,NM,5.0,1.7,52800.0,44098.0,1,1.03,0.67,0.91,0.31,0,0,1015.0,0.37,0.17,48764.0,1181.0,26.0,7877.0,5231.0,0.7,0.46
51,South Dakota School of Mines and Technology,Rapid City,SD,5.0,1.68,52300.0,43755.0,1,0.54,0.58,0.97,0.36,0,1,1866.0,0.03,0.19,50630.0,1204.0,27.0,15312.0,12875.0,0.88,0.46
52,Milwaukee School of Engineering,Milwaukee,WI,5.0,1.66,65700.0,55099.0,0,0.89,0.39,0.94,0.16,0,1,2246.0,0.12,0.16,66662.0,1209.0,27.0,23580.0,21160.0,0.64,0.57
53,Fairfield University,Fairfield,CT,5.0,1.62,69000.0,58069.0,0,0.99,0.18,0.86,0.57,1,1,3766.0,0.14,0.05,90954.0,,,29062.0,17976.0,0.72,0.82
54,George Mason University,Fairfax,VA,5.0,1.62,57000.0,47985.0,1,0.01,0.54,0.8,0.59,0,1,15312.0,0.23,0.25,95023.0,1152.0,26.0,14760.0,9896.0,0.53,0.64
55,College of Saint Elizabeth,Morristown,NJ,5.0,1.61,44900.0,37828.0,0,-1.16,0.52,0.79,1.0,1,1,961.0,0.3,0.23,82416.0,835.0,,13668.0,10707.0,0.53,0.58
56,Mississippi University for Women,Columbus,MS,5.0,1.57,34800.0,29454.0,1,-0.58,0.75,0.98,0.87,0,0,2166.0,0.39,0.28,42181.0,991.0,21.0,6797.0,5791.0,0.44,0.4
57,The University of Texas of the Permian Basin,Odessa,TX,5.0,1.57,42400.0,35896.0,1,-0.91,0.74,0.9,0.67,0,1,1762.0,0.42,0.47,47433.0,1007.0,22.0,5752.0,3146.0,0.79,0.34
58,College of Mount Saint Vincent,Bronx,NY,5.0,1.52,51900.0,44177.0,0,-0.54,0.63,0.66,0.77,1,1,1133.0,0.56,0.14,57412.0,928.0,22.0,17658.0,15296.0,0.67,0.57
59,Texas A & M University-Kingsville,Kingsville,TX,5.0,1.51,39700.0,33811.0,1,-1.41,0.81,0.88,0.51,0,0,5003.0,0.69,0.22,42910.0,845.0,18.0,9373.0,6940.0,0.2,0.34
60,Santa Clara University,Santa Clara,CA,5.0,1.51,67700.0,57650.0,0,1.28,0.35,0.76,0.58,1,1,4248.0,0.21,0.05,90849.0,1256.0,28.0,32354.0,21918.0,0.58,0.85
61,Ursuline College,Pepper Pike,OH,5.0,1.51,42900.0,36527.0,0,-0.58,0.56,0.94,0.89,0,1,947.0,0.25,0.54,62881.0,988.0,22.0,15847.0,12162.0,0.55,0.54
62,University of Pittsburgh-Greensburg,Greensburg,PA,5.0,1.5,48200.0,41106.0,1,-0.45,0.44,0.98,0.59,1,1,1753.0,0.04,0.07,53356.0,1005.0,20.0,16373.0,12708.0,0.85,0.52
63,Berea College,Berea,KY,5.0,1.5,34400.0,29331.0,0,0.25,0.96,0.97,0.58,0,0,1618.0,0.12,0.04,46862.0,1121.0,25.0,-20756.0,-21431.0,0.12,0.62
64,Molloy College,Rockville Centre,NY,5.0,1.5,57500.0,49040.0,0,0.33,0.5,0.77,0.76,1,1,1943.0,0.3,0.35,87007.0,1078.0,25.0,20376.0,15528.0,0.63,0.65
65,University of Pittsburgh-Johnstown,Johnstown,PA,4.0,1.49,48200.0,41164.0,1,-0.48,0.48,0.98,0.55,1,1,3076.0,0.04,0.07,50145.0,1007.0,21.0,17461.0,13396.0,0.88,0.6
66,Saint Francis University,Loretto,PA,4.0,1.49,46900.0,40027.0,0,-0.3,0.54,0.97,0.59,1,1,1342.0,0.08,0.1,52821.0,1038.0,23.0,20563.0,16255.0,0.77,0.64
67,Saint Joseph's College-New York,Brooklyn,NY,4.0,1.49,51800.0,44231.0,0,-0.37,0.48,0.83,0.79,1,1,1053.0,0.22,0.35,82260.0,1042.0,23.0,12697.0,8180.0,0.76,0.65
68,University of San Francisco,San Francisco,CA,4.0,1.47,61000.0,52210.0,0,0.26,0.46,0.75,0.66,1,1,4557.0,0.23,0.25,81597.0,1142.0,25.0,29340.0,22754.0,0.58,0.7
69,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,4.0,1.44,60900.0,52260.0,0,0.37,0.53,0.88,0.16,0,0,1707.0,0.21,0.35,65647.0,1142.0,26.0,32385.0,30255.0,0.82,0.57
70,California Institute of Technology,Pasadena,CA,4.0,1.43,74000.0,63556.0,0,3.81,0.57,0.79,0.33,1,1,942.0,0.22,0.04,77346.0,1520.0,34.0,23320.0,979.0,0.13,0.87
71,Saint Mary's College,Notre Dame,IN,4.0,1.42,45600.0,39205.0,0,0.51,0.27,0.93,1.0,0,1,1486.0,0.12,0.02,71547.0,1125.0,25.0,25421.0,17476.0,0.84,0.79
72,Bryant University,Smithfield,RI,4.0,1.39,61900.0,53433.0,0,0.22,0.3,0.9,0.41,1,1,2976.0,0.09,0.03,75899.0,1124.0,24.0,31286.0,25091.0,0.77,0.77
73,Marymount University,Arlington,VA,4.0,1.38,49600.0,42860.0,0,-0.61,0.47,0.8,0.77,0,1,1899.0,0.3,0.33,87628.0,986.0,21.0,20517.0,17997.0,0.78,0.48
74,Vanderbilt University,Nashville,TN,4.0,1.37,60900.0,52666.0,0,2.07,0.33,0.91,0.56,0,1,6044.0,0.19,0.05,74253.0,1454.0,33.0,16727.0,6561.0,0.16,0.92
75,Saint Louis University,Saint Louis,MO,4.0,1.37,55200.0,47734.0,0,1.2,0.38,0.94,0.57,0,1,6578.0,0.15,0.12,69641.0,1237.0,28.0,29548.0,23553.0,0.62,0.71
76,Saint Xavier University,Chicago,IL,4.0,1.36,45300.0,39199.0,0,-0.75,0.53,0.87,0.73,0,1,2736.0,0.35,0.29,67029.0,1050.0,23.0,15423.0,12539.0,0.83,0.52
77,Case Western Reserve University,Cleveland,OH,4.0,1.36,67000.0,57979.0,0,2.17,0.28,0.93,0.45,0,1,3271.0,0.15,0.22,67301.0,1340.0,30.0,27553.0,19607.0,0.51,0.78
78,Misericordia University,Dallas,PA,4.0,1.36,47500.0,41100.0,0,-0.48,0.44,0.96,0.75,1,1,1726.0,0.05,0.29,56379.0,1073.0,24.0,21278.0,16276.0,0.57,0.64
79,University of St Thomas,Saint Paul,MN,4.0,1.35,54300.0,47051.0,0,0.54,0.35,0.94,0.53,0,1,5226.0,0.07,0.09,73425.0,1163.0,26.0,26608.0,20918.0,0.84,0.74
80,Gannon University,Erie,PA,4.0,1.33,46200.0,40122.0,0,-0.23,0.53,0.96,0.61,1,1,2442.0,0.07,0.09,53534.0,1037.0,23.0,26075.0,16031.0,0.85,0.67
81,University of Notre Dame,Notre Dame,IN,4.0,1.33,69400.0,60244.0,0,2.51,0.24,0.9,0.47,0,1,8204.0,0.16,0.05,76044.0,1448.0,33.0,31873.0,11273.0,0.24,0.96
82,Cardinal Stritch University,Milwaukee,WI,4.0,1.33,51000.0,44295.0,0,-0.42,0.43,0.94,0.75,0,1,3068.0,0.21,0.73,64592.0,1014.0,22.0,25027.0,26902.0,0.48,0.46
83,Brigham Young University-Idaho,Rexburg,ID,4.0,1.32,39000.0,33886.0,0,0.04,0.86,0.93,0.54,0,0,9200.0,0.11,0.09,58451.0,1047.0,23.0,8957.0,6345.0,0.99,0.61
84,California State University-Stanislaus,Turlock,CA,4.0,1.31,44900.0,39085.0,1,-0.95,0.79,0.8,0.68,1,1,5694.0,0.36,0.34,56215.0,927.0,20.0,6801.0,4075.0,0.34,0.49
85,Daemen College,Amherst,NY,4.0,1.31,42900.0,37337.0,0,-0.75,0.55,0.92,0.8,1,1,1566.0,0.17,0.21,56540.0,,,17633.0,15401.0,0.6,0.44
86,Tuskegee University,Tuskegee,AL,4.0,1.3,37100.0,32309.0,0,-1.54,0.7,0.9,0.56,0,0,1054.0,0.59,0.02,51196.0,915.0,20.0,22689.0,22581.0,0.64,0.43
87,Dillard University,New Orleans,LA,4.0,1.29,34000.0,29653.0,0,-1.2,0.77,0.92,0.77,0,1,1512.0,0.63,0.08,47566.0,862.0,18.0,12047.0,11974.0,0.49,0.24
88,Southern Arkansas University Main Campus,Magnolia,AR,4.0,1.28,35900.0,31341.0,1,-0.91,0.79,0.98,0.58,0,0,2709.0,0.33,0.2,41292.0,1010.0,22.0,8323.0,8084.0,0.67,0.33
89,University of Pennsylvania,Philadelphia,PA,4.0,1.28,78200.0,68230.0,0,2.81,0.25,0.84,0.56,1,1,11781.0,0.21,0.22,78549.0,1435.0,32.0,23518.0,7629.0,0.12,0.96
90,The College of Saint Scholastica,Duluth,MN,4.0,1.28,47500.0,41462.0,0,0.27,0.48,0.96,0.7,0,1,1644.0,0.04,0.38,61538.0,1088.0,24.0,22164.0,19853.0,0.81,0.63
91,Hampden-Sydney College,Hampden-Sydney,VA,4.0,1.28,50200.0,43823.0,0,0.38,0.3,0.94,0.6,0,0,1026.0,0.2,0.01,69602.0,1105.0,24.0,22183.0,15961.0,0.55,0.67
92,Texas A & M University-Corpus Christi,Corpus Christi,TX,4.0,1.28,42400.0,37016.0,1,-0.63,0.68,0.91,0.62,0,1,5826.0,0.51,0.25,53116.0,948.0,20.0,11834.0,11472.0,0.85,0.4
93,Cornell University,Ithaca,NY,4.0,1.28,70900.0,61882.0,0,2.8,0.39,0.84,0.49,1,1,8579.0,0.17,0.06,77494.0,1394.0,31.0,25243.0,8738.0,0.18,0.93
94,Waynesburg University,Waynesburg,PA,4.0,1.27,44700.0,39083.0,0,-0.95,0.52,0.97,0.55,1,0,1397.0,0.07,0.2,51991.0,1016.0,22.0,14781.0,14556.0,0.75,0.57
95,University of Alabama in Huntsville,Huntsville,AL,4.0,1.26,46600.0,40767.0,1,0.4,0.62,0.95,0.57,0,1,4541.0,0.22,0.29,56624.0,1164.0,26.0,9677.0,7397.0,0.64,0.45
96,Mount Saint Mary's University,Los Angeles,CA,4.0,1.25,50200.0,43952.0,0,-0.39,0.61,0.64,0.95,1,1,850.0,0.56,0.32,59560.0,938.0,20.0,23770.0,20780.0,0.68,0.48
97,New Jersey Institute of Technology,Newark,NJ,4.0,1.25,65300.0,57165.0,1,0.66,0.64,0.75,0.23,1,1,4917.0,0.32,0.17,76995.0,1120.0,,15284.0,10723.0,0.69,0.54
98,Carroll College,Helena,MT,4.0,1.24,44000.0,38559.0,0,0.46,0.51,0.96,0.65,0,0,1195.0,0.04,0.1,54808.0,1116.0,25.0,20721.0,17536.0,0.72,0.59
99,Wake Forest University,Winston-Salem,NC,4.0,1.24,61000.0,53483.0,0,2.03,0.3,0.92,0.5,0,1,4130.0,0.16,0.01,75726.0,,,30493.0,23465.0,0.4,0.88
100,Harvey Mudd College,Claremont,CA,4.0,1.23,78600.0,68974.0,0,3.35,0.32,0.83,0.33,1,1,174.0,0.18,0.01,78832.0,1497.0,34.0,26696.0,7926.0,0.21,0.84
101,Wabash College,Crawfordsville,IN,4.0,1.22,49900.0,43817.0,0,1.06,0.37,0.93,0.6,0,0,240.0,0.19,0.0,62558.0,1142.0,25.0,23525.0,16494.0,0.63,0.75
102,University of Wyoming,Laramie,WY,4.0,1.21,46200.0,40615.0,1,0.12,0.57,0.96,0.54,0,0,8492.0,0.09,0.24,52798.0,1104.0,24.0,10361.0,7505.0,0.95,0.53
103,Southern Utah University,Cedar City,UT,4.0,1.21,37200.0,32717.0,1,-0.59,0.84,0.95,0.53,0,0,4222.0,0.07,0.21,53423.0,1048.0,23.0,11030.0,8976.0,0.76,0.42
104,Union College,Schenectady,NY,4.0,1.2,61800.0,54413.0,0,1.36,0.37,0.88,0.46,1,1,2076.0,0.15,0.03,72939.0,,,26924.0,10626.0,0.43,0.86
105,Seattle University,Seattle,WA,4.0,1.19,55200.0,48660.0,0,0.65,0.45,0.85,0.64,1,1,3313.0,0.13,0.17,68656.0,1165.0,26.0,26328.0,20239.0,0.71,0.71
106,Cedar Crest College,Allentown,PA,4.0,1.18,45200.0,39868.0,0,0.14,0.51,0.92,0.96,1,1,1424.0,0.11,0.44,64624.0,1001.0,22.0,18027.0,13137.0,0.62,0.5
107,SUNY at Binghamton,Vestal,NY,4.0,1.17,58400.0,51593.0,1,1.07,0.56,0.79,0.55,1,1,10016.0,0.2,0.08,68928.0,1280.0,28.0,15159.0,9339.0,0.4,0.77
108,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,4.0,1.16,60900.0,53827.0,0,0.25,0.53,0.88,0.16,0,1,4613.0,0.21,0.35,65647.0,1109.0,25.0,32665.0,28807.0,0.79,0.55
109,Davidson College,Davidson,NC,4.0,1.14,58500.0,51848.0,0,2.1,0.3,0.91,0.57,0,1,1670.0,0.21,0.0,70619.0,1366.0,31.0,18888.0,8822.0,0.25,0.92
110,Viterbo University,La Crosse,WI,4.0,1.14,41100.0,36419.0,0,-0.42,0.53,0.97,0.76,0,1,1666.0,0.03,0.27,56880.0,1090.0,24.0,15085.0,11737.0,0.78,0.47
111,Rutgers University-Camden,Camden,NJ,4.0,1.14,54800.0,48559.0,1,0.04,0.51,0.79,0.57,1,1,3625.0,0.26,0.14,80711.0,1076.0,,11975.0,6041.0,0.54,0.61
112,Rutgers University-Newark,Newark,NJ,4.0,1.13,54800.0,48605.0,1,-0.08,0.51,0.79,0.57,1,1,5692.0,0.26,0.14,80711.0,1065.0,,13766.0,9553.0,0.54,0.68
113,Utah State University,Logan,UT,4.0,1.12,42400.0,37660.0,1,-0.25,0.82,0.93,0.5,0,1,16279.0,0.08,0.25,58815.0,1085.0,24.0,9322.0,8195.0,0.97,0.53
114,California State University-San Bernardino,San Bernardino,CA,4.0,1.12,45500.0,40396.0,1,-1.24,0.79,0.8,0.65,1,1,11137.0,0.48,0.4,59191.0,905.0,19.0,6763.0,4744.0,0.19,0.45
115,St Mary's University,San Antonio,TX,4.0,1.12,46300.0,41117.0,0,-0.0,0.59,0.84,0.59,0,1,2613.0,0.61,0.09,54471.0,1033.0,23.0,15615.0,12472.0,0.61,0.58
116,Chestnut Hill College,Philadelphia,PA,4.0,1.11,43000.0,38231.0,0,-0.95,0.58,0.9,0.88,1,1,808.0,0.45,0.54,57373.0,954.0,20.0,21877.0,17873.0,0.88,0.44
117,Duquesne University,Pittsburgh,PA,4.0,1.1,54300.0,48316.0,0,0.16,0.33,0.96,0.59,1,1,5332.0,0.1,0.18,59042.0,1131.0,25.0,24034.0,17862.0,0.7,0.76
118,George Washington University,Washington,DC,4.0,1.1,64500.0,57396.0,0,1.49,0.28,0.86,0.6,1,1,9523.0,0.18,0.07,84576.0,1300.0,29.0,25833.0,14310.0,0.32,0.81
119,Butler University,Indianapolis,IN,4.0,1.09,52400.0,46690.0,0,0.94,0.26,0.95,0.65,0,1,3397.0,0.1,0.04,70377.0,1220.0,28.0,27346.0,22721.0,0.61,0.73
120,Chicago State University,Chicago,IL,4.0,1.08,34200.0,30511.0,1,-1.74,0.9,0.92,0.75,0,1,4988.0,0.81,0.52,50460.0,850.0,18.0,10482.0,10355.0,0.43,0.21
121,Northwood University-Texas,Cedar Hill,TX,4.0,1.08,44600.0,39757.0,0,-1.04,0.55,0.91,0.55,0,0,1114.0,0.28,0.38,63121.0,895.0,18.0,15244.0,14102.0,0.45,0.39
122,University of Scranton,Scranton,PA,4.0,1.07,56000.0,49978.0,0,0.33,0.31,0.9,0.57,1,1,3934.0,0.09,0.06,73867.0,1118.0,24.0,26498.0,21814.0,0.72,0.77
123,Illinois Institute of Technology,Chicago,IL,4.0,1.06,68200.0,60933.0,0,2.05,0.41,0.83,0.33,0,1,1717.0,0.26,0.28,71270.0,1245.0,28.0,16844.0,11693.0,0.64,0.64
124,Carnegie Mellon University,Pittsburgh,PA,4.0,1.06,72000.0,64341.0,0,2.48,0.31,0.85,0.41,1,1,5194.0,0.15,0.05,81930.0,1402.0,31.0,32052.0,22459.0,0.3,0.87
125,Sul Ross State University,Alpine,TX,4.0,1.06,38000.0,33958.0,1,-2.15,0.8,0.82,0.55,0,0,1993.0,0.61,0.34,40746.0,,,8269.0,7067.0,,0.25
126,Silver Lake College of the Holy Family,Manitowoc,WI,4.0,1.04,38100.0,34102.0,0,-1.41,0.59,0.97,0.78,0,0,502.0,0.03,0.56,60832.0,904.0,19.0,14015.0,13233.0,0.6,0.42
127,St John's University-New York,Queens,NY,4.0,1.04,54100.0,48442.0,0,-0.46,0.65,0.67,0.59,1,1,12445.0,0.36,0.07,69057.0,1093.0,24.0,24947.0,21705.0,0.46,0.57
128,California State University-East Bay,Hayward,CA,4.0,1.04,51300.0,45937.0,1,-1.0,0.69,0.71,0.67,1,1,9798.0,0.34,0.43,79509.0,914.0,19.0,10384.0,7085.0,0.22,0.43
129,John Carroll University,University Heights,OH,4.0,1.04,51000.0,45652.0,0,0.41,0.34,0.94,0.55,0,1,3396.0,0.12,0.03,66736.0,1109.0,25.0,19984.0,13347.0,0.84,0.71
130,CUNY Bernard M Baruch College,New York,NY,4.0,1.04,54000.0,48340.0,1,-0.08,0.91,0.55,0.59,1,1,12731.0,0.46,0.22,52158.0,1210.0,,3906.0,2888.0,0.23,0.63
131,College of the Holy Cross,Worcester,MA,4.0,1.03,63700.0,57132.0,0,1.4,0.23,0.87,0.54,1,1,2811.0,0.12,0.0,83539.0,,,28963.0,14025.0,0.33,0.91
